[ 2026-03-20 13:53:18,810 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-20 13:53:20,408 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-20 13:53:20,408 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-20 13:53:20,409 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-20 13:53:20,526 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-20 13:53:20,528 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-20 13:53:20,535 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-20 13:53:20,620 ] 32 root - INFO - Required number of columns:2
[ 2026-03-20 13:53:20,620 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-20 13:53:20,621 ] 32 root - INFO - Required number of columns:2
[ 2026-03-20 13:53:20,621 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-20 13:53:20,873 ] 28 root - INFO - data Validation Completed
[ 2026-03-20 13:53:20,874 ] 31 root - INFO - data Transformation started
[ 2026-03-20 13:53:20,874 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-20 13:53:20,874 ] 65 root - INFO - Starting data transformation
[ 2026-03-20 13:53:20,944 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-20 13:53:20,944 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-20 13:53:20,969 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-20 13:53:20,975 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-20 13:53:20,975 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-20 13:53:20,981 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-20 13:53:20,984 ] 35 root - INFO - data Transformation completed
[ 2026-03-20 13:53:20,984 ] 37 root - INFO - Model Training sstared
